rank,feature_name,original_value,worst_value,worst_value_change,worst_value_change_pct,worst_error_increase,worst_worsening_samples,best_value,best_value_change,best_error_decrease
1,Humidity_lag1_x_Sunshine_causal,0.19455782312925166,0.29455782312925166,0.1,51.39860137218325,39.37404262162886,1,0.09455782312925165,-0.1,-8.451167314902477
2,Factory_Issue_x_Delivery_causal,0.0015174702040814283,0.03485080353741475,0.033333333333333326,2196.638263277977,33.53431468205281,1,-0.09848252979591858,-0.1,0.0
3,Production,0.0530250808632483,0.01969174752991496,-0.03333333333333334,-62.8633332147794,18.82048903832424,1,0.0530250808632483,0.0,0.0
4,Humidity_x_Sunshine_causal,0.19455782312925166,0.29455782312925166,0.1,51.39860137218325,16.11145991258104,1,0.09455782312925165,-0.1,-5.908318874712677
5,Delivery_x_Production_causal,0.0015148386767110395,0.06818150534337769,0.06666666666666665,4400.908379927453,13.993044216913859,1,-0.09848516132328897,-0.1,-9.357014699870433
6,Humidity_weighted_to_Sunshine_lag0,-0.4793733797204675,-0.5793733797204675,-0.10000000000000003,20.860565949484442,13.614595515750807,1,-0.41270671305380086,0.06666666666666665,-6.172232257717042
7,Humidity_weighted_to_Sunshine_lag1,0.47927896074266524,0.3792789607426652,-0.10000000000000003,-20.864675516776423,13.539485438550855,1,0.4459456274093319,-0.033333333333333326,-4.535391516577647
8,Temperature_lag1_x_Humidity_causal,0.4757303887738669,0.575730388773867,0.10000000000000003,21.020309473337765,10.173812213003202,1,0.3757303887738669,-0.10000000000000003,-5.450151635270686
9,Rainfall_x_BDT_USD_causal,0.0,0.033333333333333326,0.033333333333333326,33333333333.333324,9.900337472123283,1,-0.1,-0.1,0.0
10,Factory_Issue_x_Production_causal,0.0028165435214102382,0.10281654352141024,0.1,3550.4509583959575,9.785244169468115,1,-0.09718345647858977,-0.1,-8.378973146811404
